|    night | shot | exp |        RA |        DEC |         PA |       EXPTIME |                                                               file |
| 20180407 |    3 |   1 |  12.52129 |  39.471502 |    88.7554 |        607.25 | /20180407/virus/virus0000003/exp01/virus/multi_302_035_041_RU.fits |
| 20180407 |    4 |   1 |   8.61777 |  14.965118 |    237.246 |       426.701 | /20180407/virus/virus0000004/exp01/virus/multi_302_035_041_RU.fits |
| 20180407 |    1 |   1 | -999999.9 |  -999999.9 |   0.007741 |       22.8983 | /20180407/virus/virus0000001/exp01/virus/multi_302_035_041_RU.fits |
| 20180407 |    2 |   2 |  11.33328 |    51.1279 |    69.3505 |       367.451 | /20180407/virus/virus0000002/exp02/virus/multi_302_035_041_RU.fits |
| 20180407 |    2 |   3 |  11.33328 |    51.1279 |    69.3505 |       367.499 | /20180407/virus/virus0000002/exp03/virus/multi_302_035_041_RU.fits |
| 20180407 |    2 |   1 |  11.33328 |    51.1279 |    69.3505 |        368.55 | /20180407/virus/virus0000002/exp01/virus/multi_302_035_041_RU.fits |
| 20180321 |   20 |   2 |   11.3167 |    51.1279 |    290.675 |       368.049 | /20180321/virus/virus0000020/exp02/virus/multi_302_035_041_RU.fits |
| 20180321 |   20 |   3 |   11.3167 |    51.1279 |    290.675 |       368.299 | /20180321/virus/virus0000020/exp03/virus/multi_302_035_041_RU.fits |
| 20180321 |   20 |   1 |   11.3167 |    51.1279 |    290.675 |        367.15 | /20180321/virus/virus0000020/exp01/virus/multi_302_035_041_RU.fits |
| 20180321 |    9 |   2 |   12.1433 |    51.1279 |    69.3515 |       367.549 | /20180321/virus/virus0000009/exp02/virus/multi_302_035_041_RU.fits |
| 20180321 |    9 |   3 |   12.1433 |    51.1279 |    69.3515 |       368.199 | /20180321/virus/virus0000009/exp03/virus/multi_302_035_041_RU.fits |
| 20180321 |    9 |   1 |   12.1433 |    51.1279 |    69.3515 |        367.85 | /20180321/virus/virus0000009/exp01/virus/multi_302_035_041_RU.fits |
